,unique_id,data_folder,batch_size,max_epochs,cuda,result_folder,model_name,init_lr,weight_decay,band_pass,electrodes,sampling_rate,n_seconds_valid_set,n_seconds_test_set,data
17,STKfnu6v6ZBquDd7XPF7od,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,eegnet,0.001,0,"'[None, None]'",'*z',256,180,180,onlyEEGData
18,yArE2R8obWvhRZ4svTnoPB,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,eegnet,0.001,0,"'[None, None]'",'*z',256,180,180,RobotEEGAux
19,vvdDbeWdPu3grAN9kof7tZ,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,eegnet,0.001,0,"'[None, None]'",'*z',256,180,180,RobotEEG
20,7rjKU6w2LWt32T6eynsuQQ,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,eegnet,0.001,0,"'[None, None]'",'*C*',256,180,180,onlyEEGData
21,UgieaX7XYFRxQNZY8rxGJV,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,eegnet,0.001,0,"'[None, None]'",'*C*',256,180,180,RobotEEGAux
22,P9juuB87NZqdCNw4oQ8mmD,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,eegnet,0.001,0,"'[None, None]'",'*C*',256,180,180,RobotEEG
23,Xfbhyhk77UMjGoy3uTwkUB,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,eegnet,0.001,0,"'[0, 4]'",'*',256,180,180,onlyEEGData
24,FLrnCbCgnJ7q4gcwChAzeV,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,eegnet,0.001,0,"'[0, 4]'",'*',256,180,180,RobotEEGAux
25,fKvkr5j3VCQy5VxEKxi9pS,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,eegnet,0.001,0,"'[0, 4]'",'*',256,180,180,RobotEEG
26,AntuXZTL4dWSvoCZdYfKBg,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,eegnet,0.001,0,"'[0, 4]'",'*z',256,180,180,onlyEEGData
27,mRkGZTYpttorpHU4kXgMBf,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,eegnet,0.001,0,"'[0, 4]'",'*z',256,180,180,RobotEEGAux
28,foQhYaU673XcojLsaUBdrM,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,eegnet,0.001,0,"'[0, 4]'",'*z',256,180,180,RobotEEG
29,LevigRTzLgtW3WV8cmwbbE,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,eegnet,0.001,0,"'[0, 4]'",'*C*',256,180,180,onlyEEGData
30,sThVoTC5Z6izsLSue5hfNP,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,eegnet,0.001,0,"'[0, 4]'",'*C*',256,180,180,RobotEEGAux
