,unique_id,data_folder,batch_size,max_epochs,cuda,result_folder,model_name,init_lr,weight_decay,band_pass,electrodes,sampling_rate,n_seconds_valid_set,n_seconds_test_set,data
215,86g7pHK78V9QkfrnNFUHTT,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[0, 4]'"      ,'*z'      ,256          ,0                  ,180               ,onlyEEGData
216,VJSWH44GfDgZMsiWGt7pN7,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[0, 4]'"      ,'*z'      ,256          ,0                  ,180               ,RobotEEGAux
217,KBzBtQrJK7tEKkNkY8MvrS,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[0, 4]'"      ,'*z'      ,256          ,0                  ,180               ,RobotEEG
218,ZFmaurVQ32h6WWUKL4w5Yo,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[0, 4]'"      ,'*C*'     ,256          ,0                  ,180               ,onlyEEGData
219,xsckPBdDD44mHeLqFyojRJ,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[0, 4]'"      ,'*C*'     ,256          ,0                  ,180               ,RobotEEGAux
220,gavR43fdneTYDzRWKhiHF9,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[0, 4]'"      ,'*C*'     ,256          ,0                  ,180               ,RobotEEG
221,SR8qT85cuoMsmnGJDV2Ssn,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[4, 8]'"      ,'*'       ,256          ,0                  ,180               ,onlyEEGData
222,kNhLHtuvDSDBehndxSDen7,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[4, 8]'"      ,'*'       ,256          ,0                  ,180               ,RobotEEGAux
223,9eD9y2svzZHWUGbh7sVkyf,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[4, 8]'"      ,'*'       ,256          ,0                  ,180               ,RobotEEG
224,wcgjKS9FbeGJrqjy5pn26L,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[4, 8]'"      ,'*z'      ,256          ,0                  ,180               ,onlyEEGData
225,jHE82UojdpAvz2qez3MtaP,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[4, 8]'"      ,'*z'      ,256          ,0                  ,180               ,RobotEEGAux
226,9TDBAjohzvie2DNfvgRVgL,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[4, 8]'"      ,'*z'      ,256          ,0                  ,180               ,RobotEEG
227,pGm2oD8udadtzaXNmV8sha,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[4, 8]'"      ,'*C*'     ,256          ,0                  ,180               ,onlyEEGData
228,v9CYerp3BrphcWp3Q6erFm,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[4, 8]'"      ,'*C*'     ,256          ,0                  ,180               ,RobotEEGAux
229,CnQkpqC7gWj7QGFWxrDCGJ,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[4, 8]'"      ,'*C*'     ,256          ,0                  ,180               ,RobotEEG
230,A2XFVV7JvJCU7YJ9oLtQcV,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[8, 14]'"     ,'*'       ,256          ,0                  ,180               ,onlyEEGData
231,vanhqDMi3StSjFoNAxUeAB,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[8, 14]'"     ,'*'       ,256          ,0                  ,180               ,RobotEEGAux
232,wcScmUzvyFycyNtQzZYrui,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[8, 14]'"     ,'*'       ,256          ,0                  ,180               ,RobotEEG
233,PmvQTT9MYcJL2qDyuScpxb,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[8, 14]'"     ,'*z'      ,256          ,0                  ,180               ,onlyEEGData
234,V9nFKnQxMgnWkZhryuSMZH,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[8, 14]'"     ,'*z'      ,256          ,0                  ,180               ,RobotEEGAux
235,psXj9ff3hNP5XTwWiYhcK6,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[8, 14]'"     ,'*z'      ,256          ,0                  ,180               ,RobotEEG
236,D965bKkKLCzbvTTJDZ3EVR,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[8, 14]'"     ,'*C*'     ,256          ,0                  ,180               ,onlyEEGData
237,ZuogzhLWTcRLzJ4BYQzuqZ,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[8, 14]'"     ,'*C*'     ,256          ,0                  ,180               ,RobotEEGAux
238,96QFm2tcQmse6oFso7MP7g,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[8, 14]'"     ,'*C*'     ,256          ,0                  ,180               ,RobotEEG
239,dS7YAFbAuCDVXYxf5sAydJ,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[14, 20]'"    ,'*'       ,256          ,0                  ,180               ,onlyEEGData
240,feATxiN3gS52NRFyJzocGE,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[14, 20]'"    ,'*'       ,256          ,0                  ,180               ,RobotEEGAux
241,dLTefQeRWXfwBYCRNyCB7E,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[14, 20]'"    ,'*'       ,256          ,0                  ,180               ,RobotEEG
242,PZbALNdxC8xfYXzeFuActQ,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[14, 20]'"    ,'*z'      ,256          ,0                  ,180               ,onlyEEGData
243,iUaHwgzYPz5eB7rwN2Hjvn,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[14, 20]'"    ,'*z'      ,256          ,0                  ,180               ,RobotEEGAux
