,Unnamed: 0,unique_id,data_folder,batch_size,max_epochs,cuda,result_folder,model_name,init_lr,weight_decay,band_pass,electrodes,sampling_rate,n_seconds_valid_set,n_seconds_test_set,data,config_has_run,mse_train,mse_valid,mse_test,corr_train,corr_valid,corr_test,corr_p_train,corr_p_valid,corr_p_test
10,10,D42QLFDRer3DRSCRjPmBhX,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[None, None]'",'*',256,180,180,onlyRobotData,True,"[0.4140670352834698, 0.11392916101571172, 0.30853086167096244]","[0.4081054681705067, 0.19513790182693494, 0.32608596158415804]","[0.430028605250873, 0.1969661924100348, 0.2601502915673113]","[0.2485938640107559, -0.09574710391411168, -0.3555700673549155]","[0.2023465259866692, -0.3799618484836862, -0.4583648886487998]","[0.020952210366343517, -0.2843572760173043, -0.6075678124239204]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[6.858727643648647e-06, 0.0, 0.0]"
11,11,qJayB6UQccjPzpHuFnYBCf,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[None, None]'",'*',256,180,180,onlyAux,True,"[0.4050891593232948, 0.11464710277150188, 0.3784032855831983]","[0.3861563361341376, 0.18509473629441006, 0.42925690836998]","[0.35882815983643285, 0.1953472240717388, 0.2696250255421063]","[0.0232363270295434, -0.03881660187710093, -0.057813612351627734]","[-0.024961616034374887, 0.015513890933612957, -0.011342089313138369]","[0.01028935864834217, -0.10723758346774054, -0.0019700563057813065]","[1.3280287660604021e-76, 1.300380905647968e-93, 0.0]","[8.367777844298161e-08, 0.0008673343186800991, 0.014902748807096662]","[0.027192851439009944, 6.42156556574684e-118, 0.6723782910491436]"
12,12,wGMW3WuDuXyau4mK9JxWeD,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[None, None]'",'*',256,180,180,onlyRobotData,True,"[0.01336336046052018, 0.006847240505076982, 0.006924498136084614]","[0.2283975756446979, 0.11442169028370056, 0.13318919734169132]","[0.2330566382067185, 0.138898454228462, 0.07581112471252784]","[0.9823740650983056, 0.972353102045658, 0.9833445675973492]","[0.6643168184768683, 0.5347034171627159, 0.6243647405069145]","[0.5535743844110206, 0.4767581245309984, 0.777904329641131]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
13,13,nUSrZWycjHGnqEdjstYrkK,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[None, None]'",'*',256,180,180,onlyAux,True,"[0.0532535945058396, 0.01609592826037571, 0.02972392851134]","[0.5117241588770145, 0.12546548962510318, 0.21137651350081368]","[0.4746578920865766, 0.16935582915661834, 0.203272202276482]","[0.9710327332795616, 0.9732789134440624, 0.9737565257456235]","[0.017817202687526516, 0.0056308853896222325, -0.004360491413656097]","[0.012191058196086684, 0.07211315696261253, 0.006115405364577224]","[0.0, 0.0, 0.0]","[0.00013083284397429952, 0.2267716373921575, 0.34926641295647554]","[0.00887090455200836, 3.482225813932376e-54, 0.1892756220173647]"
14,14,WaarJZv3RMphzKjpRrw2CM,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,eegnet,0.001,0,"'[None, None]'",'*',256,180,180,onlyEEGData,True,"[0.2845835262469761, 0.06695403843284965, 0.17960800688126058]","[0.3744216362635294, 0.07565933217604955, 0.2328799664974213]","[0.3269525319337845, 0.13069632401069006, 0.16139544049898782]","[0.4570026866835348, 0.6040335348829482, 0.3243703855224261]","[0.04081145637112181, -0.23899609005796005, 0.2326420139210721]","[0.08918823925257717, 0.4446503994682708, 0.4181123634371121]","[None, None, None]","[None, None, None]","[None, None, None]"
15,15,EPThQSYCU4Zmo2SbggAe8G,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,eegnet,0.001,0,"'[None, None]'",'*',256,180,180,RobotEEGAux,True,"[0.16111044523566598, 0.05265467499889004, 0.091247022445065]","[0.2762592534224192, 0.06481486558914185, 0.34219159682591754]","[0.37686365842819214, 0.11266872535149255, 0.29686380426088965]","[0.7666655902326941, 0.727023867337882, 0.760124864195715]","[0.7338887893799012, 0.1851866654728893, 0.6400452302283486]","[0.5964555881776531, 0.40128980079057497, 0.8152537322757071]","[None, None, None]","[None, None, None]","[None, None, None]"
16,16,m3PnTg6AtquAT4VxDxdvZR,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,eegnet,0.001,0,"'[None, None]'",'*',256,180,180,RobotEEG,True,"[0.14691252676855646, 0.04630120872331256, 0.08416319500156935]","[0.16312638918558756, 0.05693749710917473, 0.27292829751968384]","[0.16859072943528491, 0.1013604551553726, 0.16563360889752704]","[0.7750298573147517, 0.7500225040863984, 0.7727445932372212]","[0.7950723104569986, 0.3692141258280349, 0.7054929192075453]","[0.7444448752304355, 0.5128766980711011, 0.8357310601377219]","[None, None, None]","[None, None, None]","[None, None, None]"
17,17,STKfnu6v6ZBquDd7XPF7od,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,eegnet,0.001,0,"'[None, None]'",'*z',256,180,180,onlyEEGData,True,"[0.27904620666378066, 0.06646725651146512, 0.20303447039095768]","[0.3767165342966715, 0.0962151742229859, 0.39878234267234797]","[0.3332706689834595, 0.1437247941891352, 0.2784768839677175]","[0.4689175682884836, 0.6085212192787803, 0.28986773012774586]","[0.08025652622394559, -0.5021768008393938, 0.16763627031994954]","[0.15986798652254597, -0.3429016936138318, 0.2881357693246956]","[None, None, None]","[None, None, None]","[None, None, None]"
18,18,yArE2R8obWvhRZ4svTnoPB,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,eegnet,0.001,0,"'[None, None]'",'*z',256,180,180,RobotEEGAux,True,"[0.13430716096754516, 0.05454477235524618, 0.08497599792445776]","[0.14386721948782602, 0.10498407979806264, 0.3581761618455251]","[0.17681663235028586, 0.12952381869157156, 0.3336413701375325]","[0.7892227280968871, 0.7061035303966007, 0.7615972715177424]","[0.8054066665032211, -0.08715686923080346, 0.6225373926942754]","[0.6716449877787729, 0.3071487303275321, 0.7983893356113168]","[None, None, None]","[None, None, None]","[None, None, None]"
19,19,vvdDbeWdPu3grAN9kof7tZ,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,eegnet,0.001,0,"'[None, None]'",'*z',256,180,180,RobotEEG,True,"[0.13138454049333365, 0.04984885224719096, 0.0843227506267144]","[0.13987108568350473, 0.08411525376141071, 0.2481736242771149]","[0.13457690924406052, 0.1168049598733584, 0.14790255328019458]","[0.7947900285576182, 0.7270669578749159, 0.7601807214320094]","[0.8006154774055364, 0.05480900436782665, 0.6921007863744467]","[0.7565517497861807, 0.38016890895975103, 0.8433298147823505]","[None, None, None]","[None, None, None]","[None, None, None]"
